"participant_id","age","sex","society_type","university_degree","education_subject","appear_online_test_2_years","condition","time_question","device_changed_question","browser_changed_question","question_number","answer_correct","cheated_question","cheated_overall","device_changed_overall","browser_changed_overall","test_score","UX_Pragmatic","UX_Hedonic","UX_overall","panas_interested","panas_distressed","panas_excited","panas_upset","panas_strong","panas_guilty","panas_scared","panas_hostile","panas_enthusiastic","panas_proud","panas_irritable","panas_alert","panas_ashamed","panas_inspired","panas_nervous","panas_determined","panas_attentive","panas_jittery","panas_active","panas_afraid","positive_emotion","negative_emotion","self_efficacy","preference_for_message","correct_interpretation","not_noticed","reminded_honesty","determined_not_to_cheat","distracted","stopped_cheating","incentivised_to_look_online","no_impact","focussed_on_solving_questions","neutral_impact","feeling_watched","feeling_uncomfortable","feeling_disappointed","feeling_concerned","feeling_stressed","feeling_silly","feeling_criticised","feeling_sad","feeling_guilty","feeling_panicked","feeling_scared","feeling_worried","feeling_anxious","feeling_nervous","feeling_alerted","feeling_warned","feeling_cautious","feeling_rushed","feeling_annoyed","feeling_threatened","feeling_invaded","feeling_judged","feeling_untrusted","feeling_confused","feeling_bluffed","feeling_wasted","feeling_safe","feeling_relaxed","feeling_aware","feeling_normal","feeling_disciplined","feeling_motivated","feeling_proud","feeling_convinced","positive_views_on_others","negative_views_on_others","neutral_views_on_others","similar_views_on_others"
"P1","20","0","0","1","STEM","None","Honor code reminder","176","0","0","2","0","0","1","0","0","0","-1.5","0.75","-0.375","4","4","3","3","1","1","1","1","3","2","4","4","4","3","4","3","4","4","3","3","3","2.9","2","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P2","36","0","0","1","Social","31 or above","Monitoring","90","0","0","2","0","0","0","0","0","0","1.75","-0.25","0.75","4","2","3","1","1","1","1","1","1","1","2","1","1","1","2","2","2","1","1","1","1.7","1.3","2.125","3","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"P3","20","0","0","1","Business","31 or above","Warning","157","0","0","2","0","1","1","0","0","0","-0.75","-1.5","-1.125","4","4","4","3","2","2","2","2","2","3","4","5","2","4","4","4","4","5","4","2","3.6","3","4","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P4","28","0","0","0","Business","6-10","Honor code reminder","147","0","0","2","0","0","0","0","0","0","1.25","-2","-0.375","1","3","1","2","1","1","2","1","1","1","2","1","1","1","2","1","1","1","1","2","1","1.7","1.875","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"P5","23","0","0","1","Healthcare","31 or above","Control","211","0","0","2","0","0","0","0","0","0","3","2","2.5","4","4","3","3","2","1","1","2","3","2","4","4","3","2","4","4","4","4","4","3","3.2","2.9","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P7","40","0","0","1","Social","6-10","Warning","118","0","0","2","0","0","0","0","0","0","2","2","2","4","1","2","1","2","1","1","1","4","2","3","3","1","4","3","3","4","2","3","1","3.1","1.5","2.875","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P8","55","0","0","0","Social","1-5","Honor code reminder","84","0","0","2","0","0","0","0","0","0","2","0.25","1.125","5","1","4","1","4","1","1","1","4","3","1","4","1","4","4","4","5","3","5","2","4.2","1.6","3.625","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P6","22","0","0","0","Arts","11-20","Monitoring","31","0","0","2","0","0","0","0","0","0","-1","-1","-1","2","2","1","1","1","1","1","2","1","1","3","1","1","1","2","2","1","1","1","2","1.2","1.6","2.875","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P10","39","0","0","0","Social","None","Control","65","0","0","2","0","0","0","0","0","0","1.25","-0.25","0.5","4","3","1","1","1","1","1","1","3","1","4","3","2","1","4","4","4","1","3","1","2.5","1.9","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9","54","0","0","0","Arts","1-5","Monitoring","51","0","0","2","0","0","0","0","0","0","-3","-2.25","-2.625","1","3","1","3","1","1","1","3","1","1","4","1","1","1","2","1","2","2","1","1","1.1","2.1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
